id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
18,0.393556,tcp,http,FIN,10,8,860,1096,43.195886,62,252,15733.46582,19494.04883,2,2,43.728444,47.669145,2124.837873,71.805867,255,3882971404,3084071099,255,0.120313,0.059201,0.061112,86,137,1,103,3,1,1,1,1,2,0,0,1,1,3,0,Normal,0
622,0.509272,tcp,-,FIN,16,18,1540,1644,64.798381,31,29,22683.36133,24395.60938,4,4,33.930198,26.707234,2457.637834,97.265875,255,649425201,3341421424,255,0.056994,0.055248,0.001746,96,91,0,0,14,0,15,14,1,5,0,0,0,15,17,0,Normal,0
1871,0.004014,tcp,-,FIN,12,12,1064,2260,5729.945433,31,29,1945191.875,4129546.75,4,4,0.334455,0.307727,16.830655,0.376647,255,1952129771,4097843594,255,7.47E-4,6.2E-4,1.27E-4,89,188,0,0,16,0,6,1,1,3,0,0,0,13,11,0,Normal,0
2249,0.01893,tcp,-,FIN,16,18,1540,1644,1743.264722,31,29,610248.3125,656312.75,4,4,1.242,1.155125,76.094694,2.166126,255,707235182,712751013,255,5.59E-4,4.43E-4,1.16E-4,96,91,0,0,13,0,9,6,1,6,0,0,0,8,13,0,Normal,0
2284,0.001106,udp,dns,CON,2,2,146,178,2712.477299,31,29,528028.9375,643761.25,0,0,0.01,0.001,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,4,0,4,2,1,2,0,0,0,9,1,0,Normal,0
2495,0.018181,tcp,-,FIN,16,18,1540,1644,1815.081688,31,29,635388.625,683350.75,4,4,1.191667,1.042177,72.075283,2.208613,255,2407586457,266239130,255,5.73E-4,4.6E-4,1.13E-4,96,91,0,0,12,0,16,11,1,6,0,0,0,14,18,0,Normal,0
2957,0.017708,tcp,-,FIN,16,18,1540,1644,1863.564512,31,29,652360.5,701603.8125,4,4,1.1596,1.015235,70.24888,2.072804,255,4022817322,1881884267,255,5.62E-4,4.46E-4,1.16E-4,96,91,0,0,12,0,3,6,1,3,0,0,0,8,9,0,Normal,0
3450,1.094764,tcp,http,FIN,12,18,1580,10168,26.489728,31,29,10588.58398,70181.33594,3,5,99.492183,64.366827,9572.468548,7707.7982,255,3912171753,3913213299,255,6.5E-4,5.25E-4,1.25E-4,132,565,1,3924,3,0,4,1,1,3,0,0,1,4,2,0,Normal,0
3669,0.005183,tcp,-,FIN,18,18,4136,2456,6752.845689,31,29,6030484.0,3580937.5,7,7,0.260235,0.272647,12.878437,0.359767,255,3670167878,3677554315,255,6.92E-4,5.44E-4,1.48E-4,230,136,0,0,14,0,1,1,1,1,0,0,0,1,2,0,Normal,0
3871,0.846888,tcp,-,FIN,122,126,7810,14540,291.656038,31,29,73171.42188,136263.5938,30,32,6.988074,6.770664,420.922897,414.823834,255,407628316,408645676,255,6.73E-4,5.52E-4,1.21E-4,64,115,0,0,10,0,2,1,1,3,0,0,0,1,12,0,Normal,0
4446,0.00484,tcp,ftp-data,FIN,8,12,424,8824,3925.61978,31,29,613223.125,1.3370248E7,1,4,0.649,0.391818,40.497209,21.279978,255,3035017862,892306409,255,6.78E-4,5.27E-4,1.51E-4,53,735,0,0,2,0,4,1,1,4,0,0,0,7,2,0,Normal,0
6774,0.257372,tcp,ftp-data,FIN,14,6,8928,320,73.823107,31,29,257712.5781,8299.271484,4,1,19.797846,51.350199,1723.727827,71.85207,255,4283470599,2933963607,255,6.2E-4,4.88E-4,1.32E-4,638,53,0,0,10,0,3,1,1,8,0,0,0,6,6,0,Normal,0
